year,month,category,act_type,type,count,parsing_date
1990,5,Non-legislative acts - Delegated acts,Commission delegated directives,amending,0,2025-07-01 00:02:53
1990,5,Non-legislative acts - Delegated acts,Commission delegated decisions,basic,0,2025-07-01 00:02:53
1990,5,Non-legislative acts - Delegated acts,Commission delegated decisions,amending,0,2025-07-01 00:02:53
1990,5,Implementing acts,Council implementing regulations,basic,0,2025-07-01 00:02:53
1990,5,Implementing acts,Council implementing regulations,amending,0,2025-07-01 00:02:53
1990,5,Implementing acts,Council implementing decisions,basic,0,2025-07-01 00:02:53
1990,5,Implementing acts,Council implementing decisions,amending,0,2025-07-01 00:02:53
1990,5,Implementing acts,Commission implementing regulations,basic,0,2025-07-01 00:02:53
1990,5,Implementing acts,Commission implementing regulations,amending,0,2025-07-01 00:02:53
1990,5,Implementing acts,Commission implementing directives,basic,0,2025-07-01 00:02:53
1990,5,Implementing acts,Commission implementing directives,amending,0,2025-07-01 00:02:53
1990,5,Implementing acts,Commission implementing decisions,basic,0,2025-07-01 00:02:53
1990,5,Implementing acts,Commission implementing decisions,amending,0,2025-07-01 00:02:53
1990,5,Other acts,Commission regulations,basic,60,2025-07-01 00:02:53
1990,5,Other acts,Commission regulations,amending,22,2025-07-01 00:02:53
1990,5,Other acts,Commission directives,basic,0,2025-07-01 00:02:53
1990,5,Other acts,Commission directives,amending,1,2025-07-01 00:02:53
1990,5,Other acts,Commission decisions,basic,16,2025-07-01 00:02:53
1990,5,Other acts,Commission decisions,amending,9,2025-07-01 00:02:53
1990,5,Other acts,European Central Bank regulations,basic,0,2025-07-01 00:02:53
1990,5,Other acts,European Central Bank regulations,amending,0,2025-07-01 00:02:53
1990,5,Other acts,European Central Bank decisions,basic,0,2025-07-01 00:02:53
1990,5,Other acts,European Central Bank decisions,amending,0,2025-07-01 00:02:53
1990,5,Other acts,European Central Bank guidelines****,basic,0,2025-07-01 00:02:53
1990,5,Other acts,European Central Bank guidelines****,amending,0,2025-07-01 00:02:53
1990,5,Other acts,European Central Bank recommendations,basic,0,2025-07-01 00:02:53
1990,5,Other acts,European Central Bank recommendations,amending,0,2025-07-01 00:02:53
1990,5,Other acts,European Central Bank opinions,basic,0,2025-07-01 00:02:53
1990,5,Other acts,European Central Bank opinions,amending,0,2025-07-01 00:02:53
1990,6,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,basic,0,2025-07-01 00:02:53
1990,6,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,amending,0,2025-07-01 00:02:53
1990,6,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,basic,0,2025-07-01 00:02:53
1990,6,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,amending,0,2025-07-01 00:02:53
1990,6,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,basic,0,2025-07-01 00:02:53
1990,6,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,amending,0,2025-07-01 00:02:53
1990,6,Other legislative acts,Council regulations,basic,25,2025-07-01 00:02:53
1990,6,Other legislative acts,Council regulations,amending,9,2025-07-01 00:02:53
1990,6,Other legislative acts,Council directives,basic,17,2025-07-01 00:02:53
1990,6,Other legislative acts,Council directives,amending,1,2025-07-01 00:02:53
1990,6,Other legislative acts,Council decisions,basic,7,2025-07-01 00:02:53
1990,6,Other legislative acts,Council decisions,amending,2,2025-07-01 00:02:53
1990,6,Non-legislative acts - Delegated acts,Commission delegated regulations,basic,0,2025-07-01 00:02:53
1990,6,Non-legislative acts - Delegated acts,Commission delegated regulations,amending,0,2025-07-01 00:02:53
1990,6,Non-legislative acts - Delegated acts,Commission delegated directives,basic,0,2025-07-01 00:02:53
1990,6,Non-legislative acts - Delegated acts,Commission delegated directives,amending,0,2025-07-01 00:02:53
1990,6,Non-legislative acts - Delegated acts,Commission delegated decisions,basic,0,2025-07-01 00:02:53
1990,6,Non-legislative acts - Delegated acts,Commission delegated decisions,amending,0,2025-07-01 00:02:53
1990,6,Implementing acts,Council implementing regulations,basic,0,2025-07-01 00:02:53
1990,6,Implementing acts,Council implementing regulations,amending,0,2025-07-01 00:02:53
1990,6,Implementing acts,Council implementing decisions,basic,0,2025-07-01 00:02:53
1990,6,Implementing acts,Council implementing decisions,amending,0,2025-07-01 00:02:53
1990,6,Implementing acts,Commission implementing regulations,basic,0,2025-07-01 00:02:53
1990,6,Implementing acts,Commission implementing regulations,amending,0,2025-07-01 00:02:53
1990,6,Implementing acts,Commission implementing directives,basic,0,2025-07-01 00:02:53
1990,6,Implementing acts,Commission implementing directives,amending,0,2025-07-01 00:02:53
1990,6,Implementing acts,Commission implementing decisions,basic,0,2025-07-01 00:02:53
1990,6,Implementing acts,Commission implementing decisions,amending,0,2025-07-01 00:02:53
1990,6,Other acts,Commission regulations,basic,73,2025-07-01 00:02:53
1990,6,Other acts,Commission regulations,amending,45,2025-07-01 00:02:53
1990,6,Other acts,Commission directives,basic,1,2025-07-01 00:02:53
1990,6,Other acts,Commission directives,amending,1,2025-07-01 00:02:53
